observation_id,field_id,filter,obstime,limmag,exposure_time
195,760,ztfr,2019-04-25T11:49:12.000014,20.95420,30
196,757,ztfr,2019-04-25T11:50:00.997455,20.43780,30
197,536,ztfr,2019-04-25T11:51:08.000633,20.85970,30
198,794,ztfr,2019-04-25T11:52:20.999995,20.95660,30
199,761,ztfr,2019-04-25T11:53:01.003198,20.96550,30
200,382,ztfr,2019-04-25T11:54:14.996158,20.16850,30
201,583,ztfg,2019-04-25T11:56:34.998738,20.55830,30
202,756,ztfr,2019-04-25T11:59:38.996171,20.08050,30
203,762,ztfg,2019-04-25T12:02:52.998740,20.40370,30
204,790,ztfr,2019-04-25T12:06:04.003216,19.88400,30
205,479,ztfg,2019-04-25T12:09:17.997134,19.58010,30
206,716,ztfg,2019-04-26T04:38:32.999994,20.75390,30
207,717,ztfg,2019-04-26T04:39:13.003196,20.63010,30
208,756,ztfg,2019-04-26T04:41:15,20.67300,30
209,821,ztfg,2019-04-26T04:43:17.999051,20.69330,30
210,721,ztfg,2019-04-26T04:44:06.996492,20.83870,30
211,846,ztfg,2019-04-26T04:44:53.998088,21.15500,30
212,845,ztfg,2019-04-26T04:45:38.001591,20.78530,30
213,790,ztfg,2019-04-26T04:48:16.001297,20.84420,30
214,820,ztfg,2019-04-26T04:48:55.002252,20.67660,30
215,819,ztfg,2019-04-26T04:51:00.999356,20.63530,30
216,789,ztfg,2019-04-26T04:51:40.000311,21.05150,30
217,632,ztfg,2019-04-26T05:04:49.998722,21.08270,30
218,677,ztfg,2019-04-26T05:06:32.996152,21.25620,30
219,678,ztfg,2019-04-26T05:08:13.004179,21.38770,30
220,631,ztfg,2019-04-26T05:09:52.001268,21.71320,30
221,676,ztfg,2019-04-26T05:11:34.998738,21.57950,30
222,679,ztfg,2019-04-26T05:13:21.002871,21.61270,30
223,720,ztfg,2019-04-26T05:15:05.002548,21.40940,30
224,719,ztfg,2019-04-26T05:16:45.001925,21.51540,30
225,721,ztfg,2019-04-26T05:18:29.001602,21.13650,30
226,718,ztfg,2019-04-26T05:20:17.001620,21.75790,30
227,675,ztfg,2019-04-26T05:21:55.998709,21.78430,30
228,759,ztfg,2019-04-26T05:23:38.996179,21.31940,30
229,673,ztfg,2019-04-26T05:25:26.996157,22.07910,30
230,792,ztfg,2019-04-26T05:27:17.000629,21.78640,30
231,758,ztfg,2019-04-26T05:28:55.997759,21.86050,30
232,633,ztfg,2019-04-26T05:30:46.995829,20.80380,30
233,674,ztfg,2019-04-26T05:32:42.002890,21.94170,30
234,791,ztfg,2019-04-26T05:34:34.003208,21.80300,30
235,584,ztfg,2019-04-26T05:36:29.001618,21.26010,30
236,680,ztfg,2019-04-26T05:38:22.004144,20.90410,30
237,717,ztfg,2019-04-26T05:40:18.998399,22.08760,30
238,722,ztfg,2019-04-26T05:42:13.003213,21.81170,30
239,760,ztfg,2019-04-26T05:43:53.996147,21.94770,30
240,757,ztfg,2019-04-26T05:45:42.998412,21.73210,30
241,794,ztfg,2019-04-26T05:47:32.000637,21.76540,30
242,761,ztfg,2019-04-26T05:49:12.000014,21.90460,30
243,625,ztfg,2019-04-26T05:51:13.996818,21.92340,30
244,756,ztfg,2019-04-26T05:53:29.999058,21.96500,30
245,672,ztfg,2019-04-26T05:55:12.002890,22.11440,30
246,790,ztfg,2019-04-26T05:57:12.997446,22.06800,30
247,583,ztfg,2019-04-26T05:59:16.998704,21.77110,30
248,755,ztfg,2019-04-26T06:01:21.000003,22.10190,30
249,634,ztfg,2019-04-26T06:03:26.003509,21.54100,30
250,479,ztfg,2019-04-26T06:05:14.997125,21.77060,30
251,585,ztfg,2019-04-26T06:07:02.997102,21.63690,30
252,762,ztfg,2019-04-26T06:08:49.001275,21.45940,30
253,795,ztfg,2019-04-26T06:10:29.000652,21.87840,30
254,630,ztfg,2019-04-26T06:12:19.998722,22.07470,30
255,534,ztfg,2019-04-26T06:14:06.002895,21.36240,30
256,723,ztfg,2019-04-26T06:15:53.000624,21.72470,30
257,530,ztfg,2019-04-26T06:17:46.003190,21.79910,30
258,716,ztfg,2019-04-26T06:19:53.002541,21.82030,30
259,624,ztfg,2019-04-26T06:22:04.002233,21.84480,30
260,478,ztfg,2019-04-26T06:24:12.997430,21.70490,30
261,822,ztfg,2019-04-26T06:26:24.999369,21.77300,30
262,724,ztfg,2019-04-26T06:28:19.004142,21.58860,30
263,823,ztfg,2019-04-26T06:30:07.004160,21.93180,30
264,482,ztfg,2019-04-26T06:32:09.000963,21.63290,30
265,529,ztfg,2019-04-26T06:33:58.996786,21.49310,30
266,821,ztfg,2019-04-26T06:36:14.999025,21.91980,30
267,763,ztfg,2019-04-26T06:38:13.997777,21.61640,30
268,586,ztfg,2019-04-26T06:40:01.997754,21.51110,30
269,428,ztfg,2019-04-26T06:41:52.002227,21.13220,30
270,480,ztfg,2019-04-26T06:43:30.999356,21.21800,30
271,682,ztfg,2019-04-26T06:45:25.004169,21.54600,30
272,535,ztfg,2019-04-26T06:47:09.003847,20.86840,30
273,429,ztfg,2019-04-26T06:48:54.999369,20.89220,30
274,796,ztfg,2019-04-26T06:50:59.000628,21.41620,30
275,681,ztfg,2019-04-26T06:52:44.002553,20.98670,30
276,483,ztfg,2019-04-26T06:54:31.000323,21.19940,30
277,477,ztfg,2019-04-26T06:56:24.996486,21.69790,30
278,431,ztfg,2019-04-26T06:58:16.003206,20.54200,30
279,725,ztfg,2019-04-26T07:00:11.001617,20.59530,30
280,533,ztfg,2019-04-26T07:02:01.999687,21.04840,30
281,531,ztfg,2019-04-26T07:03:44.997117,21.81700,30
282,427,ztfg,2019-04-26T07:05:28.003196,21.74350,30
283,629,ztfg,2019-04-26T07:07:13.998719,21.97810,30
284,824,ztfg,2019-04-26T07:09:18.000018,21.73520,30
285,636,ztfg,2019-04-26T07:11:08.998088,20.48780,30
286,683,ztfg,2019-04-26T07:12:48.003827,20.91320,30
287,635,ztfg,2019-04-26T07:14:29.999050,21.38170,30
288,536,ztfg,2019-04-26T07:16:12.002882,21.01670,30
289,820,ztfg,2019-04-26T07:18:23.002574,21.98150,30
290,587,ztfg,2019-04-26T07:20:31.997770,21.22830,30
291,377,ztfg,2019-04-26T07:22:26.002543,21.60280,30
292,484,ztfg,2019-04-26T07:24:15.998406,21.40420,30
293,628,ztfg,2019-04-26T07:26:13.001271,22.02300,30
294,754,ztfg,2019-04-26T07:28:34.999697,22.06810,30
295,432,ztfg,2019-04-26T07:31:07.003217,21.47360,30
296,715,ztfg,2019-04-26T07:33:37.995840,22.05970,30
297,580,ztfg,2019-04-26T07:35:55.000328,22.16370,30
298,378,ztfg,2019-04-26T07:37:40.995850,21.54130,30
299,528,ztfg,2019-04-26T07:39:31.000323,21.83150,30
300,581,ztfg,2019-04-26T07:41:19.000300,22.18260,30
301,626,ztfg,2019-04-26T07:43:24.997444,21.94780,30
302,764,ztfg,2019-04-26T07:45:54.996470,21.75160,30
303,637,ztfg,2019-04-26T07:47:39.998395,21.59080,30
304,380,ztfg,2019-04-26T07:49:33.000960,21.49900,30
305,588,ztfg,2019-04-26T07:51:22.996783,21.54260,30
306,537,ztfg,2019-04-26T07:53:02.002562,21.60260,30
307,627,ztfg,2019-04-26T07:55:20.000647,22.01160,30
308,582,ztfg,2019-04-26T07:57:26.999998,22.15480,30
309,485,ztfg,2019-04-26T07:59:19.000316,21.57200,30
310,575,ztfg,2019-04-26T08:01:42.000949,21.65490,30
311,846,ztfg,2019-04-26T08:03:54.002888,22.12190,30
312,433,ztfg,2019-04-26T08:06:06.998385,21.54020,30
313,726,ztfg,2019-04-26T08:08:01.003198,21.69980,30
314,426,ztfg,2019-04-26T08:10:17.999035,21.22540,30
315,789,ztfg,2019-04-26T08:12:35.003522,21.80940,30
316,797,ztfg,2019-04-26T08:14:47.999059,21.95890,30
317,825,ztfg,2019-04-26T08:16:27.998396,22.04010,30
318,329,ztfg,2019-04-26T08:18:42.998388,21.02500,30
319,532,ztfg,2019-04-26T08:20:29.996158,21.53900,30
320,381,ztfg,2019-04-26T08:22:16.000331,21.14120,30
321,589,ztfg,2019-04-26T08:24:06.998401,21.62940,30
322,538,ztfg,2019-04-26T08:25:46.004140,21.35100,30
323,430,ztfg,2019-04-26T08:27:37.002251,21.37700,30
324,845,ztfg,2019-04-26T08:30:04.003184,21.32860,30
325,486,ztfg,2019-04-26T08:32:19.003216,21.30640,30
326,476,ztfg,2019-04-26T08:34:27.998412,21.82130,30
327,481,ztfg,2019-04-26T08:36:23.999030,21.63270,30
328,376,ztfg,2019-04-26T08:38:09.000955,21.67260,30
329,434,ztfg,2019-04-26T08:40:03.999366,21.07390,30
330,684,ztfg,2019-04-26T08:41:55.999684,21.17170,30
331,638,ztfg,2019-04-26T08:43:34.003216,20.99020,30
332,819,ztfg,2019-04-26T08:45:53.997105,21.11930,30
333,574,ztfg,2019-04-26T08:47:49.004166,21.12410,30
334,330,ztfg,2019-04-26T08:50:04.004158,20.90840,30
335,382,ztfg,2019-04-26T08:51:44.997133,21.22920,30
336,539,ztfg,2019-04-26T08:53:32.003513,21.15210,30
337,487,ztfg,2019-04-26T08:55:11.000642,21.37470,30
338,435,ztfg,2019-04-26T08:56:49.997772,21.32080,30
339,331,ztfg,2019-04-26T08:58:33.997449,20.85620,30
340,383,ztfg,2019-04-26T09:00:14.999034,20.97270,30
341,488,ztfg,2019-04-26T09:01:57.996463,20.99940,30
342,436,ztfg,2019-04-26T09:03:37.995840,20.88380,30
343,332,ztfg,2019-04-26T09:05:21.001920,19.86900,30
344,384,ztfg,2019-04-26T09:07:02.003505,20.60600,30
345,437,ztfg,2019-04-26T09:08:42.996479,20.79410,30
346,333,ztfg,2019-04-26T09:10:26.002559,19.58610,30
347,632,ztfr,2019-04-26T09:13:57.000006,21.75880,30
348,584,ztfr,2019-04-26T09:15:36.999343,21.20440,30
349,534,ztfr,2019-04-26T09:17:15.996473,21.14810,30
350,677,ztfr,2019-04-26T09:19:23.998072,21.60390,30
351,483,ztfr,2019-04-26T09:21:40.000311,20.80880,30
352,678,ztfr,2019-04-26T09:23:25.995834,21.48130,30
353,432,ztfr,2019-04-26T09:25:40.002228,19.70700,30
354,631,ztfr,2019-04-26T09:27:28.995844,21.50050,30
355,676,ztfr,2019-04-26T09:29:20.002564,21.41650,30
356,585,ztfr,2019-04-26T09:31:38.000649,20.89280,30
357,633,ztfr,2019-04-26T09:33:16.997778,21.21380,30
358,330,ztfr,2019-04-26T09:35:07.995848,20.61370,30
359,380,ztfr,2019-04-26T09:36:47.001588,19.18230,30
360,679,ztfr,2019-04-26T09:38:37.999698,20.42010,30
361,720,ztfr,2019-04-26T09:40:58.995835,20.51770,30
362,535,ztfr,2019-04-26T09:43:25.003211,19.92270,30
363,719,ztfr,2019-04-26T09:45:48.003843,20.74530,30
364,721,ztfr,2019-04-26T09:47:32.003521,20.92690,30
365,484,ztfr,2019-04-26T09:50:02.002546,19.96480,30
366,718,ztfr,2019-04-26T09:52:25.003219,20.63640,30
367,675,ztfr,2019-04-26T09:54:02.998061,20.25210,30
368,381,ztfr,2019-04-26T09:56:17.998093,20.89510,30
369,759,ztfr,2019-04-26T09:58:42.000973,20.92970,30
370,673,ztfr,2019-04-26T10:00:31.003198,20.41850,30
371,433,ztfr,2019-04-26T10:02:47.999035,20.43810,30
372,792,ztfr,2019-04-26T10:05:17.998061,20.22990,30
373,758,ztfr,2019-04-26T10:06:57.003840,20.35280,30
