ID,RA,Dec,Field_Type
3157,198.416793823,11.3581876755,GPWFDSE
3158,161.583206177,11.3581876755,WFDNESE
3159,233.583236694,11.3581886292,WFDNESE
3160,126.416770935,11.3581886292,WFDNESE
3161,305.583251953,11.3582496643,WFD
3162,54.4167518616,11.3582496643,GPWFDNE
3163,270.416809082,11.358250618,WFDNESE
3164,89.5831985474,11.358250618,GPWFDNE
3165,342.416778564,11.3582525253,NESE
3166,17.5832080841,11.3582525253,NESE
3167,236.682937622,11.6734762192,WFD
3168,123.317062378,11.6734762192,WFDNE
3169,339.317047119,11.6734771729,WFD
3170,20.6829376221,11.6734771729,WFDNE
3171,195.317092896,11.6734781265,WFD
3172,164.682907104,11.6734781265,WFDNE
3173,267.317047119,11.6734790802,WFD
3174,92.6829452515,11.6734790802,WFDNE
3175,308.682891846,11.673538208,WFD
3176,51.317111969,11.673538208,WFDNE
3177,239.75994873,11.9630012512,WFD
3178,120.24004364,11.9630012512,WFDNE
3179,264.239990234,11.9630050659,WFD
3180,95.7600021362,11.9630050659,WFDNE
3181,311.759979248,11.963054657,WFD
3182,48.2400245667,11.963054657,WFDNE
3183,336.24005127,11.9630565643,WFD
3184,23.7599391937,11.9630565643,WFDNE
3185,192.240020752,11.9630613327,WFD
3186,167.759979248,11.9630613327,GPNE
3187,189.175872803,12.2103261948,NS
3188,170.824127197,12.2103261948,NE
3189,333.175872803,12.2103281021,NS
3190,26.8241233826,12.2103281021,NE
3191,242.824142456,12.2103290558,NE
3192,117.175857544,12.2103290558,NE
3193,261.175842285,12.2103328705,NS
3194,98.8241500854,12.2103328705,NE
3195,314.824066162,12.2103881836,NS
3196,45.1759223938,12.2103881836,NE
3197,288.000030518,12.307009697,GPWFDSE
3198,71.9999847412,12.307009697,WFDNESE
3199,216.000030518,12.307015419,GPWFDSE
3200,143.999969482,12.307015419,WFDNESE
3201,0.0,12.3070211411,GPWFDSE
3202,245.882995605,12.4005613327,GPWFD
3203,114.117004395,12.4005613327,WFDNE
3204,317.882965088,12.4005680084,WFD
3205,42.1170272827,12.4005680084,WFDNE
3206,258.117004395,12.4005699158,WFD
3207,101.883010864,12.4005699158,WFDNE
3208,186.117004395,12.4005718231,WFD
3209,173.882995605,12.4005718231,WFDNE
3210,330.116973877,12.4005727768,WFD
3211,29.8830242157,12.4005727768,WFDNE
3212,291.29309082,12.4154644012,GP
3213,68.7068939209,12.4154644012,NE
3214,219.293106079,12.4154663086,NS
3215,140.706893921,12.4154663086,NE
3216,212.706878662,12.4154701233,NS
3217,147.293121338,12.4154701233,NE
3218,356.706939697,12.4155197144,WFDSE
3219,3.29307293892,12.4155197144,WFDSE
3220,284.706878662,12.4155216217,GP
3221,75.2931289673,12.4155216217,NE
3222,248.941207886,12.5207986832,NS
3223,111.058792114,12.5207986832,NE
3224,320.941162109,12.5208005905,NS
3225,39.0588302612,12.5208005905,NE
3226,183.058822632,12.5208053589,NE
3227,176.941177368,12.5208053589,NS
3228,255.058837891,12.5208053589,NE
3229,104.941162109,12.5208053589,NE
3230,327.058837891,12.5208587646,NS
3231,32.9411697388,12.5208587646,NE
3232,180.0,12.5620059967,NS
3233,324.0,12.5620069504,NS
3234,35.9999847412,12.5620069504,NE
3235,252.000015259,12.5620098114,NS
3236,107.999977112,12.5620098114,NE
3237,353.452270508,12.6975736618,WFD
3238,6.54772090912,12.6975736618,WFDNE
3239,294.547729492,12.6975774765,GPNE
3240,65.4522628784,12.6975774765,NE
3241,222.547744751,12.6975793839,NE
3242,137.452255249,12.6975793839,GPNE
3243,281.452301025,12.6975822449,NS
3244,78.5477142334,12.6975822449,NE
3245,209.452255249,12.6975822449,NS
3246,150.547744751,12.6975822449,NE
3247,206.246032715,13.0650444031,NS
3248,153.753967285,13.0650444031,NE
3249,225.753982544,13.0650978088,NE
3250,134.246017456,13.0650978088,NE
3251,278.246002197,13.0650978088,NS
3252,81.7539901733,13.0650978088,NE
3253,297.75402832,13.0650987625,NS
3254,62.2459831238,13.0650987625,NE
3255,350.246032715,13.0651063919,WFD
3256,9.75396060944,13.0651063919,WFDNE
3257,347.046569824,13.4038915634,WFD
3258,12.9534320831,13.4038915634,WFDNE
3259,300.953460693,13.4038915634,NS
3260,59.046546936,13.4038915634,NE
3261,203.046615601,13.4038915634,NS
3262,156.953384399,13.4038915634,NE
3263,228.953399658,13.4038944244,NS
3264,131.046600342,13.4038944244,NE
3265,275.046569824,13.4038972855,NS
3266,84.9534454346,13.4038972855,NE
3267,343.897827148,13.7593803406,WFD
3268,16.1021671295,13.7593803406,WFDNE
3269,232.102111816,13.7593832016,WFD
3270,127.897888184,13.7593832016,WFDNE
3271,304.102172852,13.7593841553,WFD
3272,55.8978233337,13.7593841553,GPWFDNE
3273,271.897827148,13.7593898773,NS
3274,88.1021652222,13.7593898773,NE
3275,199.897827148,13.7593898773,WFD
3276,160.102172852,13.7593898773,DDWFDNE
3277,235.206192017,14.1124067307,GPWFDNESE
3278,124.793815613,14.1124067307,GPWFDNESE
3279,196.793792725,14.112408638,GPWFDNESE
3280,163.206207275,14.112408638,GPWFDNESE
3281,268.793762207,14.1124095917,GPWFDNESE
3282,91.2062454224,14.1124095917,GPWFDNESE
3283,307.206237793,14.1124629974,GPWFDNESE
3284,52.7937545776,14.1124629974,GPWFDNESE
3285,340.793731689,14.1124687195,GPWFDNESE
3286,19.2062549591,14.1124687195,GPWFDNESE
3287,193.720611572,14.4414844513,GP
3288,166.279388428,14.4414844513,NE
3289,22.2793807983,14.441532135,NE
3290,310.279449463,14.441532135,NE
3291,49.7205657959,14.441532135,NE
3292,265.720611572,14.4415340424,NE
3293,94.2793731689,14.4415340424,NE
3294,238.279418945,14.441534996,NE
3295,121.720573425,14.441534996,NE
3296,337.720611572,14.4415464401,NS
3297,190.665313721,14.7292633057,NS
3298,169.334686279,14.7292633057,NE
3299,313.334686279,14.7292671204,WFDNE
3300,46.6653137207,14.7292671204,GPWFDNE
3301,262.665283203,14.7292699814,NS
3302,97.3347015381,14.7292699814,NE
3303,241.334655762,14.7292709351,WFD
3304,118.665336609,14.7292709351,WFDNE
3305,334.665313721,14.7293272018,NS
3306,25.3346767426,14.7293272018,NE
3307,286.334197998,14.7335309982,GPSE
3308,73.6658096313,14.7335309982,NESE
3309,358.334197998,14.7335929871,NESE
3310,1.66581499577,14.7335929871,SE
3311,289.66583252,14.7335939407,GPWFD
3312,70.3341751099,14.7335939407,WFDNE
3313,214.334259033,14.7335968018,NS
3314,145.665740967,14.7335968018,NE
3315,217.665786743,14.7335968018,NS
3316,142.334213257,14.7335968018,NE
3317,259.617736816,14.9607915878,NS
3318,100.382270813,14.9607915878,NE
3319,187.617752075,14.9607982635,NS
3320,172.382247925,14.9607982635,NE
3321,316.382263184,14.9608478546,NS
3322,43.6177482605,14.9608478546,NE
3323,244.38218689,14.9608488083,NS
3324,115.61781311,14.9608488083,NE
3325,331.617767334,14.9608535767,NS
3326,28.382226944,14.9608535767,NE
3327,355.034057617,14.9927549362,WFD
3328,4.96595096588,14.9927549362,WFD
3329,283.034057617,14.9927558899,WFD
3330,76.9659347534,14.9927558899,WFDNE
3331,211.034088135,14.9927587509,WFD
3332,148.965911865,14.9927587509,WFDNE
3333,220.965911865,14.9927606583,GPWFD
3334,139.034088135,14.9927606583,GPWFDNE
3335,292.965911865,14.9928150177,GPWFD
3336,67.0340881348,14.9928150177,WFDNE
3337,247.428512573,15.1235294342,WFD
3338,112.571487427,15.1235294342,WFDNE
3339,256.571533203,15.1235322952,WFD
3340,103.428466797,15.1235322952,WFDNE
3341,319.428436279,15.1235332489,WFD
3342,40.571559906,15.1235332489,WFDNE
3343,184.571517944,15.1235370636,WFD
3344,175.428482056,15.1235370636,WFDNE
3345,328.571533203,15.1235942841,GPWFD
3346,31.4284801483,15.1235942841,WFDNE
3347,253.524078369,15.2075834274,WFD
3348,106.47592926,15.2075834274,WFDNE
3349,250.475845337,15.2075881958,WFDNE
3350,109.524154663,15.2075881958,WFDNE
3351,322.475860596,15.2075901031,NS
3352,37.5241279602,15.2075901031,NE
3353,181.524093628,15.2075948715,WFD
3354,178.475906372,15.2075948715,WFDNE
3355,325.524078369,15.2076530457,WFD
3356,34.4759140015,15.2076530457,WFDNE
3357,224.205230713,15.3900651932,GP
3358,135.794769287,15.3900651932,WFDNE
3359,351.794799805,15.3900651932,WFD
3360,8.20519447327,15.3900651932,WFD
3361,207.794784546,15.3900699615,WFD
3362,152.205215454,15.3900699615,WFDNE
3363,296.205230713,15.3900699615,WFD
3364,63.7947692871,15.3900699615,WFDNE
3365,279.794830322,15.3900747299,WFD
3366,80.2051849365,15.3900747299,WFDNE
3367,348.561523438,15.7562828064,NE
3368,11.4384784698,15.7562828064,NE
3369,299.438446045,15.7562837601,NS
3370,60.5615386963,15.7562837601,NE
3371,204.56149292,15.7562837601,NS
3372,155.43850708,15.7562837601,NE
3373,276.56149292,15.7562885284,NE
3374,83.4384994507,15.7562885284,NE
3375,227.438522339,15.7562913895,NE
3376,132.561477661,15.7562913895,NE
3377,201.396987915,16.1520233154,WFDSE
3378,158.603012085,16.1520233154,WFDNESE
3379,345.396942139,16.1520252228,WFDNE
3380,14.6030540466,16.1520252228,WFDNE
3381,230.60307312,16.1520309448,WFDSE
3382,129.39692688,16.1520309448,WFDNESE
3383,302.602996826,16.1520328522,WFDSE
3384,57.3970069885,16.1520328522,WFDNESE
3385,273.397003174,16.1520328522,NE
3386,86.603012085,16.1520328522,NE
3387,233.709381104,16.5502376556,NS
3388,126.290626526,16.5502376556,NE
3389,270.290618896,16.5502414703,WFD
3390,89.7093887329,16.5502414703,WFDNE
3391,305.709320068,16.5502414703,NS
3392,54.2906684875,16.5502414703,NE
3393,198.290634155,16.550245285,NS
3394,161.709365845,16.550245285,NE
3395,342.290649414,16.5502490997,WFD
3396,17.7093524933,16.5502490997,GPNE
3397,236.777587891,16.9248943329,WFD
3398,123.222412109,16.9248943329,WFDNE
3399,195.222396851,16.9248962402,WFD
3400,164.777603149,16.9248962402,WFDNE
3401,308.777587891,16.9249572754,WFDNE
3402,51.2224159241,16.9249572754,WFDNE
3403,267.222351074,16.9249572754,WFD
3404,92.7776412964,16.9249572754,WFDNE
3405,339.222381592,16.9249610901,NE
3406,20.7776317596,16.9249610901,NE
3407,216.000030518,17.0805072784,NS
3408,143.999969482,17.0805072784,NE
3409,0.0,17.0805530548,NS
3410,288.0,17.0805606842,GP
3411,72.0000076294,17.0805606842,NE
3412,264.174499512,17.2571640015,GPWFDNE
3413,95.8255081177,17.2571640015,GPWFDNE
3414,336.174468994,17.2571659088,GPWFDNE
3415,23.8255214691,17.2571659088,GPWFDNE
3416,311.825531006,17.2571697235,GPWFDNE
3417,48.1744766235,17.2571697235,GPWFDNE
3418,239.825485229,17.2571697235,GPWFDNE
3419,120.174507141,17.2571697235,GPWFDNE
3420,192.174499512,17.2572212219,GPWFDNE
3421,167.825500488,17.2572212219,GPWFDNE
3422,356.649169922,17.2690391541,GPWFDNE
3423,3.35083794594,17.2690391541,GPWFDNE
3424,219.350799561,17.2690410614,GPWFDNE
3425,140.649200439,17.2690410614,GPWFDNE
3426,212.649169922,17.2690429688,GPWFDNE
3427,147.350830078,17.2690429688,GPWFDNE
3428,291.350799561,17.2690448761,GPWFDNE
3429,68.6492004395,17.2690448761,GPWFDNE
3430,284.649200439,17.2690448761,GPWFDNE
3431,75.3507919312,17.2690448761,GPWFDNE
3432,189.133895874,17.5323944092,NS
3433,170.866104126,17.5323944092,NE
3434,314.866119385,17.5323963165,NS
3435,45.1338806152,17.5323963165,NE
3436,261.133911133,17.5323963165,NS
3437,98.8660888672,17.5323963165,NE
3438,242.86605835,17.532453537,NE
3439,117.133934021,17.532453537,NE
3440,333.133850098,17.5324573517,NS
3441,26.8661499023,17.5324573517,NE
3442,222.626846313,17.6964473724,NS
3443,137.373153687,17.6964473724,NE
3444,294.62689209,17.6964492798,GP
3445,65.3731079102,17.6964492798,NE
3446,353.373138428,17.6964511871,NS
3447,6.62686109543,17.6964511871,NS
3448,281.37310791,17.6964530945,NS
3449,78.6268844604,17.6964530945,NE
3450,209.373138428,17.6964569092,NS
3451,150.626861572,17.6964569092,NE
3452,186.092636108,17.73878479,NS
3453,173.907363892,17.73878479,NS
3454,245.907363892,17.7387886047,NS
3455,114.092643738,17.7387886047,NE
3456,258.092651367,17.7387924194,NS
3457,101.907356262,17.7387924194,NE
3458,317.907348633,17.7388439178,NS
3459,42.0926513672,17.7388439178,NE
