# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 2021zac
# CHANNEL = B+R
# EXPNUM = 21_261_058
# MJD-OBS = 59475.616424
# DATE-OBS = 2021-09-18T14:48:08
# EXPTIME = 1800.0s
# AIRMASS = 1.95
# RA = 08:20:57.09
# DEC = 58:51:24.99
# wl fl err
# [A] [erg/s/cm2/A]
3711.860000 2.244935e-17 2.669554e-17
3714.860000 5.373598e-17 3.038776e-17
3717.860000 3.542762e-17 3.041817e-17
3720.860000 7.619651e-17 2.693845e-17
3723.860000 8.181458e-17 2.708171e-17
3726.860000 7.027080e-17 2.995556e-17
3729.860000 5.566990e-17 2.939062e-17
3732.860000 5.792593e-17 2.623146e-17
3735.860000 5.103786e-17 2.712319e-17
3738.860000 2.299136e-17 2.942892e-17
3741.860000 1.842514e-17 2.831029e-17
3744.860000 -6.017038e-18 2.549574e-17
3747.860000 7.273034e-18 2.681597e-17
3750.860000 -6.119711e-18 2.860476e-17
3753.860000 3.112967e-17 2.723732e-17
3756.860000 5.649289e-17 2.550115e-17
3759.860000 6.561115e-17 2.757241e-17
3762.860000 2.647265e-17 2.853665e-17
3765.860000 -2.897986e-18 2.611591e-17
3768.860000 1.459748e-17 2.467392e-17
3771.860000 1.425826e-17 2.712689e-17
3774.860000 -1.571470e-18 2.768412e-17
3777.860000 1.475882e-18 2.499319e-17
3780.860000 1.790374e-17 2.442871e-17
3783.860000 3.147367e-17 2.775251e-17
3786.860000 2.626251e-17 2.771068e-17
3789.860000 2.878622e-17 2.412363e-17
3792.860000 2.685155e-17 2.413505e-17
3795.860000 1.982275e-17 2.680682e-17
3798.860000 3.613875e-17 2.640034e-17
3801.860000 2.017187e-17 2.321232e-17
3804.860000 1.311290e-18 2.365367e-17
3807.860000 -1.821429e-17 2.573148e-17
3810.860000 -2.084580e-18 2.481881e-17
3813.860000 1.387820e-17 2.256892e-17
3816.860000 2.267824e-17 2.388167e-17
3819.860000 2.832574e-17 2.575591e-17
3822.860000 3.282082e-17 2.426720e-17
3825.860000 3.927906e-17 2.250317e-17
3828.860000 7.273626e-17 2.483536e-17
3831.860000 7.942219e-17 2.632341e-17
3834.860000 5.327649e-17 2.402524e-17
3837.860000 4.067498e-17 2.249286e-17
3840.860000 5.628910e-17 2.495800e-17
3843.860000 4.656347e-17 2.571761e-17
3846.860000 5.938478e-17 2.347022e-17
3849.860000 7.272942e-17 2.294480e-17
3852.860000 6.706430e-17 2.599435e-17
3855.860000 8.408460e-17 2.624253e-17
3858.860000 6.506341e-17 2.313364e-17
3861.860000 6.368565e-17 2.306393e-17
3864.860000 6.483315e-17 2.587816e-17
3867.860000 6.412296e-17 2.559398e-17
3870.860000 6.568338e-17 2.242584e-17
3873.860000 5.267782e-17 2.274338e-17
3876.860000 5.010901e-17 2.499457e-17
3879.860000 3.716519e-17 2.391441e-17
3882.860000 3.384812e-17 2.132808e-17
3885.860000 5.038617e-17 2.237803e-17
3888.860000 5.724869e-17 2.411709e-17
3891.860000 4.589804e-17 2.281657e-17
3894.860000 5.680235e-17 2.102352e-17
3897.860000 8.131221e-17 2.269572e-17
3900.860000 8.583662e-17 2.375960e-17
3903.860000 5.037993e-17 2.172290e-17
3906.860000 6.580952e-17 2.069684e-17
3909.860000 8.771882e-17 2.314862e-17
3912.860000 8.254830e-17 2.392589e-17
3915.860000 8.621492e-17 2.188162e-17
3918.860000 1.049690e-16 2.118863e-17
3921.860000 1.069431e-16 2.372575e-17
3924.860000 1.059231e-16 2.392103e-17
3927.860000 9.865577e-17 2.122669e-17
3930.860000 1.101866e-16 2.098238e-17
3933.860000 9.348774e-17 2.362421e-17
3936.860000 9.550178e-17 2.335685e-17
3939.860000 1.024598e-16 2.076832e-17
3942.860000 1.207210e-16 2.150841e-17
3945.860000 1.431885e-16 2.407049e-17
3948.860000 1.497017e-16 2.357969e-17
3951.860000 1.255599e-16 2.108620e-17
3954.860000 1.175805e-16 2.220143e-17
3957.860000 1.166295e-16 2.438744e-17
3960.860000 1.304429e-16 2.339387e-17
3963.860000 1.251821e-16 2.154103e-17
3966.860000 1.160695e-16 2.339761e-17
3969.860000 1.282856e-16 2.514588e-17
3972.860000 1.225958e-16 2.342456e-17
3975.860000 1.207292e-16 2.202685e-17
3978.860000 1.323286e-16 2.433506e-17
3981.860000 1.311988e-16 2.506667e-17
3984.860000 1.352698e-16 2.258256e-17
3987.860000 8.997835e-17 2.103569e-17
3990.860000 7.891151e-17 2.301067e-17
3993.860000 8.652256e-17 2.298929e-17
3996.860000 8.882815e-17 2.018483e-17
3999.860000 1.018517e-16 1.960488e-17
4002.860000 8.178061e-17 2.188732e-17
4005.860000 9.251148e-17 2.178135e-17
4008.860000 1.120355e-16 1.906327e-17
4011.860000 1.160320e-16 1.931838e-17
4014.860000 1.339802e-16 2.151781e-17
4017.860000 1.406499e-16 2.106996e-17
4020.860000 1.501968e-16 1.886320e-17
4023.860000 1.472551e-16 1.960255e-17
4026.860000 1.531157e-16 2.126448e-17
4029.860000 1.531018e-16 2.030833e-17
4032.860000 1.723747e-16 1.865968e-17
4035.860000 1.627204e-16 1.980407e-17
4038.860000 1.228051e-16 2.071414e-17
4041.860000 1.083483e-16 1.940468e-17
4044.860000 1.263823e-16 1.823582e-17
4047.860000 1.537126e-16 2.010503e-17
4050.860000 1.571129e-16 2.113786e-17
4053.860000 1.645485e-16 1.959497e-17
4056.860000 1.360534e-16 1.859700e-17
4059.860000 1.409170e-16 2.095694e-17
4062.860000 1.782046e-16 2.164562e-17
4065.860000 1.880296e-16 1.967409e-17
4068.860000 1.669706e-16 1.927283e-17
4071.860000 1.621679e-16 2.209183e-17
4074.860000 1.677764e-16 2.222854e-17
4077.860000 1.606877e-16 1.949466e-17
4080.860000 1.813483e-16 1.997674e-17
4083.860000 1.860126e-16 2.243113e-17
4086.860000 1.606899e-16 2.197217e-17
4089.860000 1.487841e-16 1.931936e-17
4092.860000 1.303288e-16 1.977793e-17
4095.860000 1.538830e-16 2.168385e-17
4098.860000 1.498809e-16 2.063866e-17
4101.860000 1.220868e-16 1.840612e-17
4104.860000 1.222694e-16 1.936255e-17
4107.860000 1.322782e-16 2.055494e-17
4110.860000 1.177006e-16 1.912109e-17
4113.860000 1.312309e-16 1.779000e-17
4116.860000 1.486822e-16 1.938848e-17
4119.860000 1.593265e-16 2.028660e-17
4122.860000 1.391495e-16 1.851609e-17
4125.860000 1.613651e-16 1.768828e-17
4128.860000 1.552530e-16 1.957255e-17
4131.860000 1.562428e-16 1.995055e-17
4134.860000 1.462167e-16 1.763247e-17
4137.860000 1.707674e-16 1.759837e-17
4140.860000 1.871074e-16 2.013246e-17
4143.860000 2.025098e-16 2.021302e-17
4146.860000 1.918372e-16 1.773506e-17
4149.860000 1.953325e-16 1.773454e-17
4152.860000 1.851128e-16 1.972878e-17
4155.860000 1.675458e-16 1.935486e-17
4158.860000 1.743267e-16 1.724261e-17
4161.860000 1.825957e-16 1.782783e-17
4164.860000 1.706179e-16 1.957185e-17
4167.860000 1.540960e-16 1.878661e-17
4170.860000 1.704032e-16 1.701932e-17
4173.860000 2.019193e-16 1.812439e-17
4176.860000 1.945557e-16 1.948909e-17
4179.860000 1.850136e-16 1.838924e-17
4182.860000 1.853675e-16 1.692341e-17
4185.860000 1.740408e-16 1.825642e-17
4188.860000 1.960928e-16 1.923994e-17
4191.860000 1.803838e-16 1.767837e-17
4194.860000 1.541145e-16 1.658578e-17
4197.860000 1.618372e-16 1.850358e-17
4200.860000 1.525079e-16 1.891928e-17
4203.860000 1.674925e-16 1.714607e-17
4206.860000 1.689140e-16 1.668946e-17
4209.860000 1.656676e-16 1.883902e-17
4212.860000 1.699433e-16 1.901365e-17
4215.860000 1.651149e-16 1.685859e-17
4218.860000 1.619903e-16 1.667904e-17
4221.860000 1.733907e-16 1.885330e-17
4224.860000 1.588670e-16 1.860161e-17
4227.860000 1.773767e-16 1.642021e-17
4230.860000 1.918170e-16 1.689141e-17
4233.860000 1.654717e-16 1.852039e-17
4236.860000 1.704236e-16 1.802577e-17
4239.860000 1.511919e-16 1.611661e-17
4242.860000 1.639756e-16 1.694235e-17
4245.860000 1.650405e-16 1.846867e-17
4248.860000 1.599304e-16 1.756554e-17
4251.860000 1.712892e-16 1.608319e-17
4254.860000 1.716221e-16 1.732603e-17
4257.860000 1.567583e-16 1.806133e-17
4260.860000 1.633444e-16 1.692633e-17
4263.860000 1.547158e-16 1.595889e-17
