,Unnamed: 0,nightdate,jd,field,rcid,ra0,dec0,nalertpackets,programid,expid,fid,scimaglim,diffmaglim,sciinpseeing,difffwhm,exptime,status,exitcode
89,742654, 2019-04-25 ,2458598.8465162003,1,17,195.4438319547,54.34797188893,5,2,84434651,2,21.51,20.5392,1.7158,2.38676,30,1,0
90,742655, 2019-04-25 ,2458598.8465162003,1,1,195.2576037036,52.43997992183,5,2,84434651,2,21.5,20.5359,1.6271,2.30875,30,1,0
91,742656, 2019-04-25 ,2458598.8465162003,1,50,195.7668869948,57.302845516880005,11,2,84434651,2,21.6,20.5565,1.4474,2.26735,30,1,0
92,742657, 2019-04-25 ,2458598.8465162003,1,4,193.6321045348,52.4788239156,6,2,84434651,2,21.57,20.5544,1.5632,2.33865,30,1,0
93,742658, 2019-04-25 ,2458598.8465162003,1,44,187.173255256,56.26354886508,3,2,84434651,2,21.5,20.5693,1.5505,2.19948,30,1,0
94,742659, 2019-04-25 ,2458598.8465162003,1,61,185.3213582159,58.10569871788,3,2,84434651,2,21.16,20.2485,1.9173,2.44429,30,1,0
95,742660, 2019-04-25 ,2458598.8465162003,1,3,196.5639156602,51.51813333362001,0,2,84434651,2,21.25,20.3458,1.7717,2.3655,30,1,56
96,742661, 2019-04-25 ,2458598.8465162003,1,20,193.7370322934,54.39076365334001,3,2,84434651,2,21.55,20.5163,1.7172,2.2617700000000003,30,1,0
97,742662, 2019-04-25 ,2458598.8465162003,1,37,192.2972659361,56.32851527686,0,2,84434651,2,21.57,20.5559,1.4647,2.27569,30,0,44
98,742663, 2019-04-25 ,2458598.8465162003,1,58,188.8975404871,57.354038155240005,2,2,84434651,2,21.49,20.4544,1.5716,2.27569,30,1,0
99,742664, 2019-04-25 ,2458598.8465162003,1,32,197.1953490793,56.19359652184,4,2,84434651,2,21.43,20.507,1.8602,2.27013,30,1,0
100,742665, 2019-04-25 ,2458598.8465162003,1,6,192.1964695307,51.63164640293,5,2,84434651,2,21.58,20.4053,1.5041,2.40522,30,1,0
101,742666, 2019-04-25 ,2458598.8465162003,1,25,189.07077226400003,54.39530483739,2,2,84434651,2,21.54,20.5478,1.5561,2.39469,30,1,0
102,742667, 2019-04-25 ,2458598.8465162003,1,10,189.2124245306,51.61670716149,0,2,84434651,2,21.58,20.4365,1.5182,2.27846,30,0,44
103,742668, 2019-04-25 ,2458598.8465162003,1,27,190.5741364787,53.54932662788,3,2,84434651,2,21.58,20.6057,1.5061,2.26735,30,1,0
104,742669, 2019-04-25 ,2458598.8465162003,1,2,195.17776613810005,51.57518482663,0,2,84434651,2,21.46,20.4853,1.6289,2.28123,30,1,56
105,742670, 2019-04-25 ,2458598.8465162003,1,29,185.8846326989,54.29119172872,4,2,84434651,2,21.44,20.4216,1.6607,2.27569,30,1,0
106,742671, 2019-04-25 ,2458598.8465162003,1,13,186.1285486017,52.38621272807,0,2,84434651,2,21.46,20.4189,1.5642,2.19373,30,1,56
107,742672, 2019-04-25 ,2458598.8465162003,1,26,189.1203166686,53.52953234707,3,2,84434651,2,21.54,20.6221,1.4961,2.2617700000000003,30,1,0
